venue,year,identifier
ICSE,2014,conf/icse/icse2014
ICSE,2015,conf/icse/icse2015-1
ICSE,2016,conf/icse/icse2016
ICSE,2017,conf/icse/icse2017
ICSE,2018,conf/icse/icse2018
ICSE,2019,conf/icse/icse2019
TSE,2014,journals/tse/tse40
TSE,2015,journals/tse/tse41
TSE,2016,journals/tse/tse42
TSE,2017,journals/tse/tse43
TSE,2018,journals/tse/tse44
TSE,2019,journals/tse/tse45
FSE,2014,conf/sigsoft/fse2014
FSE,2015,conf/sigsoft/fse2015
FSE,2016,conf/sigsoft/fse2016
FSE,2017,conf/sigsoft/fse2017
FSE,2018,conf/sigsoft/fse2018
FSE,2019,conf/sigsoft/fse2019
TOSEM,2014,journals/tosem/tosem23
TOSEM,2015,journals/tosem/tosem24
TOSEM,2016,journals/tosem/tosem25
TOSEM,2017,journals/tosem/tosem26
TOSEM,2018,journals/tosem/tosem27
TOSEM,2019,journals/tosem/tosem28
