venue,year,identifier,accepted_papers,retrieved_papers,match
ICSE,2014,conf/icse/icse2014,99,99,TRUE
ICSE,2015,conf/icse/icse2015-1,84,84,TRUE
ICSE,2016,conf/icse/icse2016,101,101,TRUE
ICSE,2017,conf/icse/icse2017,68,68,TRUE
ICSE,2018,conf/icse/icse2018,105,105,TRUE
TSE,2014,journals/tse/tse40,,63,
TSE,2015,journals/tse/tse41,,62,
TSE,2016,journals/tse/tse42,,59,
TSE,2017,journals/tse/tse43,,58,
TSE,2018,journals/tse/tse44,,58,
FSE,2014,conf/sigsoft/fse2014,61,61,TRUE
FSE,2015,conf/sigsoft/fse2015,74,74,TRUE
FSE,2016,conf/sigsoft/fse2016,74,74,TRUE
FSE,2017,conf/sigsoft/fse2017,72,72,TRUE
FSE,2018,conf/sigsoft/fse2018,61,61,TRUE
TOSEM,2014,journals/tosem/tosem23,,31,
TOSEM,2015,journals/tosem/tosem24,,25,
TOSEM,2016,journals/tosem/tosem25,,29,
TOSEM,2017,journals/tosem/tosem26,,14,
TOSEM,2018,journals/tosem/tosem27,,17,
,,,,1215,
