"venue","year","identifier","heading","title","authors","page_range","length","electronic_edition","comment","status","is_full_paper"
"ICSE",2014,"conf/icse/icse2014","Testing 2","Interpolated n-grams for model based testing.","Paolo Tonella; Roberto Tiella; Duy Cu Nguyen","562-572",11,"https://doi.org/10.1145/2568225.2568242",,,TRUE
"ICSE",2014,"conf/icse/icse2014","Software Understanding","Using psycho-physiological measures to assess task difficulty in software development.","Thomas Fritz; Andrew Begel; Sebastian C. Müller; Serap Yigit-Elliott; Manuela Züger","402-413",12,"https://doi.org/10.1145/2568225.2568266",,,TRUE
"ICSE",2014,"conf/icse/icse2014","Repair","A critical review of """"automatic patch generation learned from human-written patches"""": essay on the problem statement and the evaluation of automatic software repair.","Martin Monperrus","234-242",9,"https://doi.org/10.1145/2568225.2568324",,,TRUE
"ICSE",2014,"conf/icse/icse2014","Formal Analysis","Mining behavior models from user-intensive web applications.","Carlo Ghezzi; Mauro Pezzè; Michele Sama; Giordano Tamburrelli","277-287",11,"https://doi.org/10.1145/2568225.2568234",,,TRUE
"ICSE",2014,"conf/icse/icse2014","Modeling and Interfaces","Effects of using examples on structural model comprehension: a controlled experiment.","Dina Zayan; Michal Antkiewicz; Krzysztof Czarnecki","955-966",12,"https://doi.org/10.1145/2568225.2568270",,,TRUE
"ICSE",2015,"conf/icse/icse2015-1","Analysis III","Dynamic Generation of Likely Invariants for Multithreaded Programs.","Markus Kusano; Arijit Chattopadhyay; Chao Wang","835-846",12,"https://doi.org/10.1109/ICSE.2015.95",,,TRUE
"ICSE",2015,"conf/icse/icse2015-1","Search-Based","A Genetic Algorithm for Detecting Significant Floating-Point Inaccuracies.","Daming Zou; Ran Wang; Yingfei Xiong; Lu Zhang; Zhendong Su; Hong Mei","529-539",11,"https://doi.org/10.1109/ICSE.2015.70",,,TRUE
"ICSE",2015,"conf/icse/icse2015-1","Organizational and Human Factors","Stuck and Frustrated or in Flow and Happy: Sensing Developers' Emotions and Progress.","Sebastian C. Müller; Thomas Fritz","688-699",12,"https://doi.org/10.1109/ICSE.2015.334",,,TRUE
"ICSE",2015,"conf/icse/icse2015-1","Regression Testing","An Information Retrieval Approach for Regression Test Prioritization Based on Program Changes.","Ripon K. Saha; Lingming Zhang; Sarfraz Khurshid; Dewayne E. Perry","268-279",12,"https://doi.org/10.1109/ICSE.2015.47",,,TRUE
"ICSE",2015,"conf/icse/icse2015-1","Evolution and Maintenance","Interactive Code Review for Systematic Changes.","Tianyi Zhang; Myoungkyu Song; Joseph Pinedo; Miryung Kim","111-122",12,"https://doi.org/10.1109/ICSE.2015.33",,,TRUE
