venue,year,identifier,heading,title,authors,page_range,length,electronic_edition,comment
ICSE,2014,conf/icse/icse2014,Perspectives on Software Engineering,"Cowboys, ankle sprains, and keepers of quality: how is video game development different from software development?",Emerson R. Murphy-Hill; Thomas Zimmermann; Nachiappan Nagappan,1-11,11,https://doi.org/10.1145/2568225.2568226,
ICSE,2014,conf/icse/icse2014,Perspectives on Software Engineering,Analyze this! 145 questions for data scientists in software engineering.,Andrew Begel; Thomas Zimmermann,12-13,2,https://doi.org/10.1145/2568225.2568233,issue_last_page
ICSE,2014,conf/icse/icse2014,Perspectives on Software Engineering,The dimensions of software engineering success.,Paul Ralph; Paul Kelly,24-35,12,https://doi.org/10.1145/2568225.2568261,issue_first_page
ICSE,2014,conf/icse/icse2014,Perspectives on Software Engineering,How do professionals perceive legacy systems and software modernization?,Ravi Khadka; Belfrit V. Batlajery; Amir Saeidi; Slinger Jansen; Jurriaan Hage,36-47,12,https://doi.org/10.1145/2568225.2568318,
ICSE,2014,conf/icse/icse2014,Testing 1,SimRT: an automated framework to support regression testing for data races.,Tingting Yu; Witawas Srisa-an; Gregg Rothermel,48-59,12,https://doi.org/10.1145/2568225.2568294,
ICSE,2014,conf/icse/icse2014,Testing 1,Performance regression testing target prioritization via performance risk analysis.,Peng Huang; Xiao Ma; Dongcai Shen; Yuanyuan Zhou,60-71,12,https://doi.org/10.1145/2568225.2568232,
ICSE,2014,conf/icse/icse2014,Testing 1,Code coverage for suite evaluation by developers.,Rahul Gopinath; Carlos Jensen; Alex Groce,72-82,11,https://doi.org/10.1145/2568225.2568278,
ICSE,2014,conf/icse/icse2014,Testing 1,Time pressure: a controlled experiment of test case development and requirements review.,Mika Mäntylä; Kai Petersen; Timo O. A. Lehtinen; Casper Lassenius,83-94,12,https://doi.org/10.1145/2568225.2568245,
ICSE,2014,conf/icse/icse2014,Modeling,Verifying component and connector models against crosscutting structural views.,Shahar Maoz; Jan Oliver Ringert; Bernhard Rumpe,95-105,11,https://doi.org/10.1145/2568225.2568237,
ICSE,2014,conf/icse/icse2014,Modeling,TradeMaker: automated dynamic analysis of synthesized tradespaces.,Hamid Bagheri; Chong Tang; Kevin J. Sullivan,106-116,11,https://doi.org/10.1145/2568225.2568291,
ICSE,2014,conf/icse/icse2014,Modeling,Lifting model transformations to product lines.,Rick Salay; Michalis Famelis; Julia Rubin; Alessio Di Sandro; Marsha Chechik,117-128,12,https://doi.org/10.1145/2568225.2568267,
ICSE,2014,conf/icse/icse2014,Modeling,Automated goal operationalisation based on interpolation and SAT solving.,Renzo Degiovanni; Dalal Alrajeh; Nazareno Aguirre; Sebastián Uchitel,129-139,11,https://doi.org/10.1145/2568225.2568323,
ICSE,2014,conf/icse/icse2014,"Configuration, Variability, and Clones",Mining configuration constraints: static analyses and empirical results.,Sarah Nadi; Thorsten Berger; Christian Kästner; Krzysztof Czarnecki,140-151,12,https://doi.org/10.1145/2568225.2568283,
ICSE,2014,conf/icse/icse2014,"Configuration, Variability, and Clones",Which configuration option should I change?,Sai Zhang; Michael D. Ernst,152-163,12,https://doi.org/10.1145/2568225.2568251,
ICSE,2014,conf/icse/icse2014,"Configuration, Variability, and Clones",Detecting differences across multiple instances of code clones.,Yun Lin; Zhenchang Xing; Yinxing Xue; Yang Liu; Xin Peng; Jun Sun; Wenyun Zhao,164-174,11,https://doi.org/10.1145/2568225.2568298,
ICSE,2014,conf/icse/icse2014,"Configuration, Variability, and Clones",Achieving accuracy and scalability simultaneously in detecting application clones on Android markets.,Kai Chen; Peng Liu; Yingjun Zhang,175-186,12,https://doi.org/10.1145/2568225.2568286,
ICSE,2014,conf/icse/icse2014,Social Aspects of Software Engineering,"Two's company, three's a crowd: a case study of crowdsourcing software development.",Klaas-Jan Stol; Brian Fitzgerald,187-198,12,https://doi.org/10.1145/2568225.2568249,
ICSE,2014,conf/icse/icse2014,Social Aspects of Software Engineering,Does latitude hurt while longitude kills? geographical and temporal separation in a large scale software development project.,Patrick Wagstrom; Subhajit Datta,199-210,12,https://doi.org/10.1145/2568225.2568279,
ICSE,2014,conf/icse/icse2014,Social Aspects of Software Engineering,Software engineering at the speed of light: how developers stay current using twitter.,Leif Singer; Fernando Marques Figueira Filho; Margaret-Anne D. Storey,211-221,11,https://doi.org/10.1145/2568225.2568305,
ICSE,2014,conf/icse/icse2014,Social Aspects of Software Engineering,Building it together: synchronous development in OSS.,Qi Xuan; Vladimir Filkov,222-233,12,https://doi.org/10.1145/2568225.2568238,
ICSE,2014,conf/icse/icse2014,Repair,"A critical review of ""automatic patch generation learned from human-written patches"": essay on the problem statement and the evaluation of automatic software repair.",Martin Monperrus,234-242,9,https://doi.org/10.1145/2568225.2568324,
ICSE,2014,conf/icse/icse2014,Repair,Data-guided repair of selection statements.,Divya Gopinath; Sarfraz Khurshid; Diptikalyan Saha; Satish Chandra,243-253,11,https://doi.org/10.1145/2568225.2568303,
ICSE,2014,conf/icse/icse2014,Repair,The strength of random search on automated program repair.,Yuhua Qi; Xiaoguang Mao; Yan Lei; Ziying Dai; Chengsong Wang,254-265,12,https://doi.org/10.1145/2568225.2568254,
ICSE,2014,conf/icse/icse2014,Repair,MintHint: automated synthesis of repair hints.,Shalini Kaleeswaran; Varun Tulsian; Aditya Kanade; Alessandro Orso,266-276,11,https://doi.org/10.1145/2568225.2568258,
ICSE,2014,conf/icse/icse2014,Formal Analysis,Mining behavior models from user-intensive web applications.,Carlo Ghezzi; Mauro Pezzè; Michele Sama; Giordano Tamburrelli,277-287,11,https://doi.org/10.1145/2568225.2568234,
ICSE,2014,conf/icse/icse2014,Formal Analysis,Reviser: efficiently updating IDE-/IFDS-based data-flow analyses in response to incremental program changes.,Steven Arzt; Eric Bodden,288-298,11,https://doi.org/10.1145/2568225.2568243,
ICSE,2014,conf/icse/icse2014,Formal Analysis,Automated design of self-adaptive software with control-theoretical formal guarantees.,Antonio Filieri; Henry Hoffmann; Martina Maggio,299-310,12,https://doi.org/10.1145/2568225.2568272,
ICSE,2014,conf/icse/icse2014,Formal Analysis,Perturbation analysis of stochastic systems with empirical distribution parameters.,Guoxin Su; David S. Rosenblum,311-321,11,https://doi.org/10.1145/2568225.2568256,
